mythic_level,runs,players,avg_item_level,median_item_level,p25_item_level,min_item_level,max_item_level
2,134,667,284.0,287.4,276.0,75.0,601.0
3,14,70,287.4,289.0,280.2,256.0,312.0
4,67,335,289.1,291.0,284.8,86.0,322.8
5,71,354,290.6,292.8,286.0,82.0,323.2
6,59,293,294.7,295.0,289.0,257.0,322.0
7,67,333,295.9,297.0,290.0,71.0,325.0
8,121,604,300.6,301.0,292.2,172.0,325.7
9,106,530,301.9,301.0,294.0,260.0,638.0
10,1118,5580,309.2,312.0,303.2,82.0,717.0
11,250,1247,311.6,314.0,307.0,154.0,327.9
12,662,3309,315.4,316.9,311.6,241.0,328.6
13,210,1049,315.8,316.9,313.0,192.0,327.1
14,195,975,317.8,318.4,315.6,263.0,326.1
15,187,935,319.3,320.0,317.6,279.0,327.0
16,121,605,320.9,321.0,319.0,303.1,327.8
17,89,445,322.0,322.2,321.0,265.0,328.0
18,49,245,323.2,323.3,322.0,313.0,328.0
19,6,30,324.7,324.9,323.9,323.0,327.9
