Nehézség;Mérőszám;Boss;Kill;Játékos;Átlag;Medián;25. percentilis;Min;Max
Normal;raid átlag / kill;Nek'zali the Soulcoiler;447;;305,7;305,7;301,8;267,6;321,4
Normal;raid átlag / kill;Entombed Sentinels;373;;304,5;304,7;301,1;279,5;321,4
Normal;raid átlag / kill;Vashnik the Malignant;368;;304,7;305,0;301,5;270,1;321,4
Normal;raid átlag / kill;The Lost Explorers;373;;305,0;305,0;301,7;270,2;321,4
Normal;raid átlag / kill;Sszorak;335;;305,3;305,6;302,0;270,2;322,5
Normal;raid átlag / kill;The Twin Fangs;322;;306,0;306,3;302,6;271,1;322,3
Normal;raid átlag / kill;The Coiled Altar;368;;309,4;309,8;306,5;271,2;322,5
Normal;raid átlag / kill;Ula'tek;353;;310,1;310,6;307,4;272,3;322,5
Normal;raid átlag / kill;Nymrissa Wavecaller;115;;303,0;304,9;299,1;266,9;317,7
Normal;raid átlag / kill;Kith'ix;0;;;;;;
Normal;raid átlag / kill;Összes boss;3054;;306,2;306,6;302,5;266,9;322,5
Heroic;raid átlag / kill;Nek'zali the Soulcoiler;2124;;316,7;317,8;315,1;265,9;327,7
Heroic;raid átlag / kill;Entombed Sentinels;1798;;316,3;317,5;315,3;257,3;325,4
Heroic;raid átlag / kill;Vashnik the Malignant;1774;;316,0;317,7;315,3;245,1;324,4
Heroic;raid átlag / kill;The Lost Explorers;1822;;316,2;317,6;315,3;248,4;324,4
Heroic;raid átlag / kill;Sszorak;1227;;316,0;318,1;315,9;259,7;324,4
Heroic;raid átlag / kill;The Twin Fangs;1014;;316,4;318,8;316,7;257,1;324,4
Heroic;raid átlag / kill;The Coiled Altar;2147;;318,3;319,9;318,0;273,7;327,6
Heroic;raid átlag / kill;Ula'tek;2070;;318,7;320,5;318,3;274,1;327,6
Heroic;raid átlag / kill;Nymrissa Wavecaller;1007;;314,8;316,2;313,5;267,2;324,5
Heroic;raid átlag / kill;Kith'ix;0;;;;;;
Heroic;raid átlag / kill;Összes boss;14983;;316,8;318,4;315,6;245,1;327,7
Mythic;raid átlag / kill;Nek'zali the Soulcoiler;603;;321,9;322,5;321,4;299,4;328,2
Mythic;raid átlag / kill;Entombed Sentinels;292;;323,1;323,6;322,6;304,4;330,0
Mythic;raid átlag / kill;Vashnik the Malignant;224;;323,4;323,9;323,1;304,2;330,3
Mythic;raid átlag / kill;The Lost Explorers;486;;321,9;322,8;321,6;299,6;328,2
Mythic;raid átlag / kill;Sszorak;79;;324,7;324,8;324,3;319,0;328,2
Mythic;raid átlag / kill;The Twin Fangs;37;;325,7;325,6;325,1;322,8;328,3
Mythic;raid átlag / kill;The Coiled Altar;4;;328,1;328,1;327,4;327,2;329,0
Mythic;raid átlag / kill;Ula'tek;0;;;;;;
Mythic;raid átlag / kill;Nymrissa Wavecaller;314;;322,4;323,2;322,0;300,9;327,9
Mythic;raid átlag / kill;Kith'ix;0;;;;;;
Mythic;raid átlag / kill;Összes boss;2039;;322,5;323,2;321,9;299,4;330,3
